Symbol,ionic_radius,
H,0,0
He,0,0
Li,0.65,0
Be,0.3,0
B,0.16,0
C,0,0
N,0,0
O,1.46,0
F,1.33,0
Ne,0,0
Na,0.98,0
Mg,0.65,0
Al,0.45,0
Si,0.38,0
P,0,0
S,1.9,0
Cl,1.81,0
Ar,0,0
K,1.33,0
Ca,0.94,0
Sc,0,0
Ti,0.9,0
V,0.88,0
Cr,0.84,0
Mn,0.8,0
Fe,0.76,0
Co,0.74,0
Ni,0.72,0
Cu,0.57,0
Zn,0.74,0
Ga,0.62,0
Ge,0.67,0
As,0.46,0
Se,0.56,0
Br,1.95,0
Kr,0,0
Rb,1.48,0
Sr,1.1,0
Y,0,0
Zr,0,0
Nb,0,0
Mo,0,0
Tc,0,0
Ru,0,0
Rh,0,0
Pd,0,0
Ag,0,0
Cd,0.95,0
In,0.8,0
Sn,0.69,0
Sb,0.6,0
Te,0.56,0
I,2.16,0
Xe,1.67,0
Cs,1.29,0
Ba,1.42,0
La,0,0
Ce,1.11,0
Pr,0,0
Nd,1.08,0
Pm,0,0
Sm,1.04,0
Eu,0,0
Gd,1.02,0
Tb,0,0
Dy,0.99,0
Ho,0,0
Er,0.96,0
Tm,0,0
Yb,0.94,0
Lu,0,0
Hf,0,0
Ta,0,0
W,0,0
Re,0,0
Os,0,0
Ir,0,0
Pt,0,0
Au,0,0
Hg,1.48,0
Tl,0.89,0
Pb,0.775,0
Bi,1.17,0
Po,0.94,0
At,0.76,0
Th,0,0
U,1.05,0
